Key;English;Vietnamese
game.piece.knight;Knight;Mã
game.promotion.title;Pawn promotion;Phong cấp quân tốt
game.promotion.subtitle;Choose the piece to promote to;Chọn quân thay thế cho tốt
game.promotion.cancel;Cancel move;Huỷ nước đi
game.label.win;Win;Thắng
game.label.draw;Draw;Hoà
game.label.lose;Lose;Thua
room.bot-difficulty.title;Select Bot Difficulty;Chọn độ khó của Bot
room.bot-difficulty.beginner;Beginner;Mới bắt đầu
room.bot-difficulty.amateur;Amateur;Nghiệp dư
room.bot-difficulty.intermediate;Intermediate;Trung bình
room.bot-difficulty.advanced;Advanced;Nâng cao
room.bot-difficulty.master;Master;Lão luyện
login.page.title;Login;Đăng nhập
login.form.title;Login;Đăng nhập
login.username.label;User name;Tên người dùng
login.username.placeholder;User name;Tên người dùng
login.password.label;Password;Mật khẩu
login.password.placeholder;Password;Mật khẩu
login.password.show;Show password;Hiện mật khẩu
login.password.hide;Hide password;Ẩn mật khẩu
login.form.error1;Login failed. Please check your credentials ;Đăng nhập không thành công. Hãy kiểm tra lại
login.form.forgot-password;Forgot password;Quên mật khẩu
login.form.register;Register;Đăng ký
login.form.submit;Login;Đăng nhập
login.form.or;or;hoặc
login.google.load-error;Could not load Google Sign-In;Không tải được đăng nhập Google
login.facebook.button;Sign-in with Facebook;Đăng nhập với Facebook
login.messages.incorrect-login;Invalid username or password;Tên người dùng hoặc mật khẩu không hợp lệ
login.messages.internal-server-error;Internal server error;Lỗi máy chủ nội bộ
login.messages.missing-credentials;Username and password are required;Tên người dùng và mật khẩu là bắt buộc
login.messages.success;Login successful;Đăng nhập thành công
notfound.title;Page Not Found;Trang không tìm thấy
notfound.description;The page you are looking for does not exist or has been moved.;Trang bạn tìm kiếm không tồn tại hoặc đã được di chuyển.
notfound.home;Go to Home;Về trang chủ
notfound.back;Go Back;Quay lại
register.confirm-password.error1;Confirm password does not match password;Mật khẩu xác nhận không khớp với mật khẩu
register.confirm-password.label;Confirm Password;Xác nhận mật khẩu
register.confirm-password.placeholder;Confirm Password;Xác nhận mật khẩu
register.display-name.label;Display name;Tên hiển thị
register.display-name.placeholder;Display name;Tên hiển thị
register.email.error1;Invalid email format;Định dạng email không hợp lệ
register.email.label;Email;Email
register.email.placeholder;Email;Email
register.form.login;Back to login;Về trang đăng nhập
register.form.submit;Register;Đăng ký
register.form.success;Registration successful. Redirecting to login...;Đăng ký thành công. Đang chuyển hướng...
register.form.title;Register;Đăng ký
register.gender.female;Female;Nữ
register.gender.label;Gender;Giới tính
register.gender.male;Male;Nam
register.gender.select;Select gender;Chọn giới tính
register.page.title;Register;Đăng ký
register.password.error1;Password must be at least 8 characters and contain uppercase, lowercase, number, and special character;Mật khẩu phải có ít nhất 8 ký tự và chứa chữ hoa, chữ thường, số và ký tự đặc biệt
register.password.hide;Hide password;Ẩn mật khẩu
register.password.label;Password;Mật khẩu
register.password.placeholder;Password;Mật khẩu
register.password.show;Show password;Hiện mật khẩu
register.username.error1;User name must contain only alphanumeric characters, underscore, and dot;Tên người dùng chỉ chứa ký tự chữ số, dấu gạch dưới và dấu chấm
register.username.label;User name;Tên người dùng
register.username.placeholder;User name;Tên người dùng
forgot-password.page.title;Forgot Password;Quên mật khẩu
forgot-password.form.title;Forgot Password;Quên mật khẩu
forgot-password.form.login;Back to login;Về trang đăng nhập
forgot-password.form.submit;Forgot password;Quên mật khẩu
forgot-password.form.success;Check your email for reset password details.;Hãy kiểm tra email để xem thông tin đặt lại mật khẩu.
forgot-password.form.error1;Forgot password failed.;Quên mật khẩu không thành công.
reset-password.page.title;Reset Password;Đặt lại mật khẩu
reset-password.form.title;Reset your password;Đặt lại mật khẩu của bạn
reset-password.form.submit;Reset Password;Đặt lại mật khẩu
reset-password.form.error1;An error occurred while resetting your password. Please try again.;Có lỗi xảy ra khi đặt lại mật khẩu. Vui lòng thử lại.
reset-password.form.invalid-token;Invalid or expired reset password token;Token đặt lại mật khẩu không hợp lệ hoặc đã hết hạn
reset-password.form.success;Password reset successfully. Redirecting to login...;Đặt lại mật khẩu thành công. Đang chuyển hướng đến đăng nhập...
reset-password.action.back-to-login;Back to login;Quay lại trang chủ
auth-middleware.messages.invalid-token-payload;Invalid token payload;Payload của token không hợp lệ
auth-middleware.messages.session-not-found;Session not found;Không tìm thấy phiên
auth-middleware.messages.token-expired;Token is expired;Token đã hết hạn
auth-middleware.messages.token-invalid;Token is invalid;Token không hợp lệ
auth-middleware.messages.token-required;Token not provided;Token không được cung cấp
auth-middleware.messages.token-subject-mismatch;Token subject mismatch;Token chủ đề không khớp
auth-middleware.messages.token-validation-failed;Token validation failed;Xác thực token không thành công
create-room.messages.insufficient-amount;You do not have enough balance to create a room with this bet;Bạn không còn đủ amount để tạo phòng với mức cược này
create-room.messages.internal-server-error;Internal server error while creating room;Lỗi máy chủ nội bộ khi tạo phòng
create-room.messages.invalid-bet-amount;Bet amount is required and must be one of the acceptable values;Số tiền cược là bắt buộc và phải là một trong các giá trị được chấp nhận
create-room.messages.invalid-time-limit;Invalid time limit;Thời gian không hợp lệ
create-room.messages.invalid-time-increment;Invalid bonus per move;Thời gian cộng mỗi nước không hợp lệ
create-room.messages.invalid-time-per-move;Invalid time per move;Thời gian mỗi nước không hợp lệ
create-room.messages.invalid-team-name;Team name must be either 'red', 'black', or null;Tên đội phải là 'red', 'black' hoặc null
create-room.messages.name-required;Room name (tableName) is required and must not be empty;Tên phòng (tableName) là bắt buộc và không được để trống
create-room.messages.room-created;Room created successfully;Phòng được tạo thành công
fetch-rooms.messages.internal-server-error;Internal server error;Lỗi máy chủ nội bộ
fetch-rooms.messages.invalid-status;Query parameter 'status' must be an integer;Tham số truy vấn 'status' phải là số nguyên
fetch-rooms.messages.success;Fetch rooms successfully;Lấy phòng thành công
forgot-password.messages.email-not-found;Email does not exist;Email không tồn tại
forgot-password.messages.email-service-not-configured;Email service is not configured;Dịch vụ email chưa được cấu hình
forgot-password.messages.internal-server-error;Internal server error;Lỗi máy chủ nội bộ
forgot-password.messages.invalid-email-format;Invalid email format;Định dạng email không hợp lệ
forgot-password.messages.missing-email;Email is required;Email là bắt buộc
forgot-password.messages.success;Forgot password email sent;Email đặt lại mật khẩu đã được gửi
join-room.messages.internal-server-error;Internal server error;Lỗi máy chủ nội bộ
join-room.messages.invalid-team;Field 'team' must be 'red', 'black', null, or undefined;Trường 'team' phải là 'red', 'black', null hoặc không truyền
join-room.messages.invalid-room-id;Field 'id' is required and must be a positive integer;Trường 'id' là bắt buộc và phải là số nguyên dương
join-room.messages.room-not-found;Room not found;Không tìm thấy phòng
join-room.messages.success;Successfully joined the room;Tham gia phòng thành công
join-room.messages.team-seat-occupied;Selected team seat is already occupied;Vị trí đội đã chọn đã có người chơi
kick-user.messages.cannot-kick-self;You cannot kick yourself;Bạn không thể kick chính mình
kick-user.messages.forbidden;Only the host can kick users;Chỉ chủ phòng mới có thể kick người dùng
kick-user.messages.internal-server-error;Internal server error;Lỗi máy chủ nội bộ
kick-user.messages.invalid-room-id;Field 'id' is required and must be a positive integer;Trường 'id' là bắt buộc và phải là số nguyên dương
kick-user.messages.invalid-user-id;Field 'userId' is required and must be a positive integer;Trường 'userId' là bắt buộc và phải là số nguyên dương
kick-user.messages.room-not-found;Room not found;Không tìm thấy phòng
kick-user.messages.room-not-waiting;You can only kick users while the room is waiting;Chỉ có thể kick người dùng khi phòng đang ở trạng thái chờ
kick-user.messages.success;User has been kicked;Người dùng đã bị kick
kick-user.messages.user-not-in-room;User is not in this room;Người dùng không trong phòng này
kick-user.messages.you-were-kicked;You have been removed from the room by the host;Bạn đã bị chủ phòng đưa ra khỏi phòng
leave-room.messages.internal-server-error;Internal server error;Lỗi máy chủ nội bộ
leave-room.messages.invalid-room-id;Field 'id' is required and must be a positive integer;Trường 'id' là bắt buộc và phải là số nguyên dương
leave-room.messages.player-not-in-room;Player is not in this room;Người chơi không trong phòng này
leave-room.messages.success;Leave room successfully;Rời phòng thành công
load-room.messages.internal-server-error;Internal server error;Lỗi máy chủ nội bộ
load-room.messages.invalid-room-id;Room ID must be a positive integer;ID phòng phải là số nguyên dương
load-room.messages.room-not-found;Room not found;Không tìm thấy phòng
load-room.messages.success;Load room successfully;Tải phòng thành công
google-login.messages.email-not-verified;Your Google email is not verified;Email Google của bạn chưa được xác minh
google-login.messages.failed;Login failed;Đăng nhập không thành công
google-login.messages.internal-server-error;Internal server error;Lỗi máy chủ nội bộ
google-login.messages.invalid-token;Invalid Google credential;Thông tin đăng nhập Google không hợp lệ
google-login.messages.missing-credential;Google credential is required;Thiếu thông tin đăng nhập Google
facebook-login.messages.missing-token;Facebook token is required;Thiếu thông tin đăng nhập Facebook
facebook-login.messages.invalid-token;Invalid Facebook token;Thông tin đăng nhập Facebook không hợp lệ
facebook-login.messages.not-linked;This Facebook account is not linked. Log in another way and link it in Settings;Tài khoản Facebook này chưa được liên kết. Hãy đăng nhập cách khác rồi liên kết trong Cài đặt
facebook-login.messages.internal-server-error;Internal server error;Lỗi máy chủ nội bộ
facebook-link.messages.missing-token;Facebook token is required;Thiếu thông tin đăng nhập Facebook
facebook-link.messages.invalid-token;Invalid Facebook token;Thông tin đăng nhập Facebook không hợp lệ
facebook-link.messages.linked;Facebook linked successfully;Đã liên kết Facebook
facebook-link.messages.already-linked;This Facebook account is already linked to your account;Tài khoản Facebook này đã được liên kết với bạn
facebook-link.messages.linked-to-other;This Facebook account is already linked to another account;Tài khoản Facebook này đã được liên kết với tài khoản khác
facebook-link.messages.already-has-facebook;You already linked a different Facebook account;Bạn đã liên kết một tài khoản Facebook khác
facebook-link.messages.unlinked;Facebook unlinked;Đã huỷ liên kết Facebook
facebook-link.messages.internal-server-error;Internal server error;Lỗi máy chủ nội bộ
logout.messages.already-inactive;Session already inactive;Phiên đã ngưng hoạt động
logout.messages.internal-server-error;Internal server error;Lỗi máy chủ nội bộ
logout.messages.success;Logout successful;Đăng xuất thành công
refresh-token.messages.missing-refresh-token;Missing refresh token cookie;Thiếu cookie token làm mới
refresh-token.messages.mismatch-or-expired;Refresh token mismatch or expired;Thiếu refresh token hoặc đã hết hạn
refresh-token.messages.success;Token refreshed;Token đã làm mới
register.messages.email-exists;Email already exists;Email đã tồn tại
register.messages.internal-server-error;Internal server error;Lỗi máy chủ nội bộ
register.messages.missing-fields;Username, password, gender, displayName and email are required;Tên người dùng, mật khẩu, giới tính, tên hiển thị và email là bắt buộc
register.messages.success;User created successfully;Người dùng được tạo thành công
register.messages.username-exists;Username already exists;Tên người dùng đã tồn tại
reset-password.messages.internal-server-error;Internal server error;Lỗi máy chủ nội bộ
reset-password.messages.invalid-or-expired-token;Invalid or expired reset password token;Token đặt lại mật khẩu không hợp lệ hoặc đã hết hạn
reset-password.messages.invalid-user-id;Invalid user id;ID người dùng không hợp lệ
reset-password.messages.missing-id-or-token;ID and token are required;ID và token là bắt buộc
reset-password.messages.missing-userId-or-password;UserId and password are required;UserId và mật khẩu là bắt buộc
reset-password.messages.token-valid;Reset password token is valid;Token đặt lại mật khẩu hợp lệ
reset-password.messages.user-not-found;User not found;Không tìm thấy người dùng
room.actions.start-room;Start room;Bắt đầu chơi
room.actions.challenge;Challenge;Vào chơi
room.actions.leave-seat;Leave seat;Ra xem
room.actions.undo;Undo;Hoán tác
room.actions.surrender;Surrender;Đầu hàng
room.actions.draw;Draw;Hòa
room.actions.back-home;Back to home;Thoát phòng
room.actions.flip-board;Flip board;Đảo chiều bàn cờ
room.actions.accept-draw;Accept;Chấp nhận
room.actions.reject-draw;Reject;Từ chối
room.actions.send-pm;Send PM;Chat
room.actions.view-history;History;Lịch sử
room.actions.kick;Kick;Kick
room.actions.back-to-room;Back to room;Quay lại phòng chơi
room.actions.chat;Room chat;Phòng chat
room.messages.draw-accepted;Opponent accepted the draw;Đối phương đã đồng ý hòa
room.messages.draw-rejected;Opponent rejected the draw;Đối phương từ chối hòa
room.messages.opponent-surrendered;Opponent surrendered! You won!;Đối phương đã đầu hàng! Bạn thắng!
room.messages.confirm-leave;Are you sure you want to leave room?;Bạn có chắc muốn rời bàn chơi?
room.messages.confirm-surrender;Are you sure you want to surrender?;Bạn có chắc chắn muốn đầu hàng không?
room.messages.confirm-draw;Are you sure you want to draw?;Bạn có chắc chắn muốn hòa không?
room.messages.confirm-accept-draw;Opponent has proposed a draw. Do you accept?;Đối phương đã chủ hòa, bạn có đồng ý không?
room.messages.insufficient-amount;You do not have enough balance to join this room;Bạn không đủ tiền để tham gia bàn chơi này
room.messages.will-leave-current-room;You are currently in another room. Joining this room will remove you from the current room;Bạn đang ở trong một phòng khác. Tham gia phòng này sẽ loại bạn ra khỏi phòng hiện tại
room.messages.game-ended;Game ended;Ván đấu đã kết thúc
room.messages.you-win;You win;Bạn đã chiến thắng
room.messages.you-lose;You lose;Bạn đã thua
room.messages.you-draw;The game is a draw;Ván đấu hòa
room.messages.you-win-per-move-timeout;You win — your opponent ran out of move time;Bạn thắng vì đối thủ hết giờ đi một nước
room.messages.you-lose-per-move-timeout;You lose — you ran out of move time;Bạn thua do hết giờ đi một nước
room.messages.spectator-win-checkmate;{0} won by checkmate;{0} thắng do chiếu bí
room.messages.spectator-win-stalemate;{0} won — opponent had no legal moves;{0} thắng do đối thủ hết nước đi
room.messages.spectator-win-timeout;{0} won on time;{0} thắng do đối thủ hết giờ
room.messages.spectator-win-per-move-timeout;{0} won — opponent ran out of move time;{0} thắng do đối thủ hết giờ đi một nước
room.messages.spectator-draw;The game ended in a draw;Ván đấu kết thúc với tỉ số hòa
room.messages.back-to-room;Back to room;Quay lại phòng
room.messages.auto-back-countdown;{0}. Press the back button to return to the room. You will be automatically returned in {1}s;{0}. Bấm nút quay lại để quay lại room. Bạn sẽ tự động quay lại trong {1}s
room.notifications.joined;{0} joined the room;{0} đã vào phòng
room.notifications.left;{0} left the room;{0} đã rời phòng
room.settings.title;Room Settings;Cài đặt phòng
room.settings.room-name;Room name;Tên phòng
room.settings.players;Spectators;Người xem
room.settings.save;Save;Lưu
room-invite.messages.title;Room Invitation;Lời mời vào phòng
start-game.messages.success;Game started successfully;Bắt đầu trò chơi thành công
start-game.messages.internal-server-error;Internal server error while starting game;Lỗi máy chủ nội bộ khi bắt đầu trò chơi
start-game.messages.invalid-room-id;Field 'id' is required and must be a positive integer;Trường 'id' là bắt buộc và phải là số nguyên dương
start-game.messages.invalid-difficulty;Bot difficulty must be between 1 and 5;Độ khó của bot phải từ 1 đến 5
start-game.messages.room-not-found;Room not found;Không tìm thấy phòng
start-game.messages.forbidden;Only the room host can start the game;Chỉ chủ phòng mới có thể bắt đầu trò chơi
start-game.messages.insufficient-amount;You do not have enough balance to start a game with this bet;Bạn không còn đủ amount để start room
start-game.messages.requester-must-pick-team;You must select a team before starting a game with bot;Bạn phải chọn team trước khi bắt đầu trò chơi với bot
update-room.messages.success;Room updated successfully;Cập nhật phòng thành công
update-room.messages.internal-server-error;Internal server error;Lỗi máy chủ nội bộ
update-room.messages.invalid-room-id;Invalid room ID;ID phòng không hợp lệ
update-room.messages.invalid-time-limit;Invalid time limit;Thời gian không hợp lệ
update-room.messages.invalid-time-increment;Invalid bonus per move;Thời gian cộng mỗi nước không hợp lệ
update-room.messages.invalid-time-per-move;Invalid time per move;Thời gian mỗi nước không hợp lệ
update-room.messages.name-required;Room name is required;Tên phòng không được để trống
update-room.messages.room-not-found;Room not found;Không tìm thấy phòng
update-room.messages.forbidden;You are not the host of this room;Bạn không phải chủ phòng
draw-game.messages.invalid-game-id;Invalid game ID;ID trò chơi không hợp lệ
draw-game.messages.game-not-found;Game not found;Không tìm thấy trò chơi
draw-game.messages.forbidden;You are not in this room;Bạn không có trong phòng này
draw-game.messages.game-history-not-found;Game history not found;Không tìm thấy lịch sử trò chơi
draw-game.messages.game-already-finished;Game is already finished;Trò chơi đã kết thúc
draw-game.messages.success;Draw game successfully;Hòa cờ thành công
draw-game.messages.internal-server-error;Internal server error;Lỗi máy chủ nội bộ
surrender.messages.game-already-finished;Game is already finished;Trò chơi đã kết thúc
surrender.messages.game-history-not-found;Game history not found;Không tìm thấy lịch sử trò chơi
surrender.messages.game-not-found;Game not found;Không tìm thấy trò chơi
surrender.messages.internal-server-error;Internal server error;Lỗi máy chủ nội bộ
surrender.messages.invalid-game-id;Invalid game ID;ID trò chơi không hợp lệ
surrender.messages.invalid-surrender-player;You are not a player in this game;Bạn không phải là người chơi trong trò chơi này
surrender.messages.opponent-not-found;Opponent not found;Không tìm thấy đối thủ
surrender.messages.success;Surrendered;Đã đầu hàng
undo.messages.invalid-game-id;Invalid game ID;ID trò chơi không hợp lệ
undo.messages.unauthorized;Unauthorized;Không được phép truy cập
undo.messages.game-not-found;Game not found;Không tìm thấy trò chơi
undo.messages.not-in-game;You are not part of this game;Bạn không phải là người chơi trong trò chơi này
undo.messages.not-in-room;You are not in this room;Bạn không trong phòng này
undo.messages.pve-only;Undo is only available in PvE rooms;Hoàn tác chỉ khả dụng trong phòng PvE
undo.messages.spectator-cannot-undo;Spectators cannot undo moves;Người xem không thể hoàn tác nước đi
undo.messages.no-moves;No moves to undo;Không có nước đi để hoàn tác
undo.messages.delete-failed;Failed to undo move;Không thể hoàn tác nước đi
undo.messages.undo-limit-exceeded;Maximum 3 undo per game exceeded;Đã đạt tối đa 3 lần hoàn tác trong trò chơi
undo.messages.success;Move undone successfully;Hoàn tác nước đi thành công
undo.messages.internal-server-error;Internal server error;Lỗi máy chủ nội bộ
player-history.messages.invalid-user-id;Invalid user ID;ID người dùng không hợp lệ
player-history.messages.success;Fetch game history successfully;Lấy lịch sử trò chơi thành công
validate-token.messages.success;Token is valid;Token hợp lệ
guide.section.objective;Objective of the game;Mục tiêu của trò chơi
guide.section.pieces;Pieces;Quân cờ
guide.section.moving-pieces;Moving pieces;Đi quân
guide.section.capturing;Capturing;Bắt quân
guide.section.check;Check;Chiếu
guide.section.result;Result;Kết quả
guide.table.piece;Piece;Quân
guide.table.symbol;Symbol;Ký hiệu
guide.table.quantity;Quantity;Số lượng
guide.objective.paragraph1;A chess game is played between two players: White and Black. The goal is to <b>checkmate</b> the opponent's King.;Một ván cờ vua được chơi giữa hai bên: Trắng và Đen. Mục tiêu là <b>chiếu bí</b> Vua của đối phương.
guide.pieces.paragraph1;A standard game starts with 32 pieces in total (16 per side), with <b>6 piece types</b>: King, Queen, Rook, Bishop, Knight, and Pawn.;Một ván cờ tiêu chuẩn bắt đầu với 32 quân (mỗi bên 16 quân), gồm <b>6 loại quân</b>: Vua, Hậu, Xe, Tượng, Mã và Tốt.
guide.piece.king;King;Vua
guide.piece.queen;Queen;Hậu
guide.piece.bishop;Bishop;Tượng
guide.piece.rook;Rook;Xe
guide.piece.knight;Knight;Mã
guide.piece.pawn;Pawn;Tốt
guide.moving-pieces.paragraph1;Players move alternately, one legal move at a time. Piece movement rules are:;Hai bên lần lượt đi quân, mỗi lượt một nước đi hợp lệ. Quy tắc di chuyển như sau:
guide.king.paragraph1;King;Vua
guide.king.paragraph2;Moves one square in any direction. The King may not move into check.;Di chuyển một ô theo mọi hướng. Vua không được đi vào ô đang bị chiếu.
guide.queen.paragraph1;Queen;Hậu
guide.queen.paragraph2;Moves any number of squares horizontally, vertically, or diagonally, as long as no piece blocks the path.;Di chuyển không giới hạn số ô theo hàng, cột hoặc đường chéo, miễn là không bị quân khác cản đường.
guide.bishop.paragraph1;Bishop;Tượng
guide.bishop.paragraph2;Moves any number of squares diagonally and cannot jump over pieces.;Di chuyển không giới hạn số ô theo đường chéo và không được nhảy qua quân khác.
guide.rook.paragraph1;Rook;Xe
guide.rook.paragraph2;Moves any number of squares horizontally or vertically and cannot jump over pieces.;Di chuyển không giới hạn số ô theo hàng hoặc cột và không được nhảy qua quân khác.
guide.knight.paragraph1;Knight;Mã
guide.knight.paragraph2;Moves in an <b>L-shape</b> (two squares in one direction and one perpendicular). The Knight can jump over pieces.;Di chuyển theo <b>hình chữ L</b> (2 ô theo một hướng rồi 1 ô vuông góc). Mã có thể nhảy qua quân khác.
guide.pawn.paragraph1;Pawn;Tốt
guide.pawn.paragraph2;Moves one square forward (or two squares from its starting rank if both squares are empty). Captures one square diagonally forward.;Đi thẳng một ô (hoặc hai ô ở nước đi đầu tiên nếu cả hai ô đều trống). Bắt quân theo đường chéo lên trước một ô.
guide.special-moves.paragraph1;Special Moves;Nước đi đặc biệt
guide.special-moves.paragraph2;<b>Castling</b>: King moves two squares toward a rook and the rook jumps over.;<b>Nhập thành</b>: Vua đi hai ô về phía Xe và Xe nhảy qua Vua.
guide.special-moves.paragraph3;<b>En passant</b>: special pawn capture <b>right after</b> an opponent pawn advances two squares.;<b>Bắt tốt qua đường</b> (en passant): bắt tốt đối phương <b>ngay sau khi</b> tốt đó đi hai ô.
guide.special-moves.paragraph4;<b>Promotion</b>: when a pawn reaches the last rank, it promotes to Queen, Rook, Bishop, or Knight.;<b>Phong cấp</b>: khi Tốt tới hàng cuối, được phong thành Hậu, Xe, Tượng hoặc Mã.
guide.capturing.paragraph1;A piece captures by moving to a square occupied by an opponent piece. Captured pieces are removed from the board.;Quân cờ bắt bằng cách đi đến ô có quân đối phương. Quân bị bắt sẽ bị loại khỏi bàn cờ.
